V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
0.2757680103,0.4080388143,0.3180120772,0.6667470103,0.4422755662,0.48820666897,0.56641367452,1.000057331,1.508795478,2.35990201,3.18483145,4.02135927,4.482935,4.76294276,4.21819249,3.49369761,2.64742528,1.756514403,1.158633669,0.8455042678,0.65393776108
0.3548418951,0.4874032002,0.3992284794,0.4128599285,0.5058149165,0.51807267118,0.70203086072,1.1572808991,1.499477079,2.26495464,3.05283367,4.08363534,4.48236214,4.60195798,4.11040066,3.58941672,2.52570857,1.778279195,1.2103442338,0.8168015308,0.59132938166
0.3672847009,0.4010236736,0.383534625,0.476028996,0.423768003,0.4444613081,0.6092162667,1.124642957,1.456000464,2.41153123,3.15576721,4.07157092,4.46013045,4.60343235,4.14258838,3.58895371,2.52762175,1.927861732,1.2867279314,0.7975146488,0.51950542183
0.5159690109,0.5424582955,0.660731832,0.4188198064,0.5520017584,0.72073565824,0.90158706672,1.1635123803,1.630211516,2.31122602,3.15265963,4.04135304,4.51228387,4.6628732,4.35223765,3.57070287,2.57044021,1.711823329,1.1763806678,0.7877656456,0.48988044113
0.1931127467,0.3835251717,0.537171448,0.445947358,0.4173355463,0.46958759816,0.5820355364,1.0216394536,1.551459779,2.36452062,3.20868417,4.00955897,4.52942163,4.60728727,4.42005812,3.60187916,2.5759119,1.82504609,1.3007262764,0.8514512226,0.47135173896
0.3720618032,0.2990020978,0.4947973484,0.4360796704,0.5017598903,0.68156867027,0.73759912344,0.9335187133,1.592872731,2.40370355,3.18949053,4.02015291,4.47660219,4.64214835,4.19631785,3.58901049,2.71268662,1.874924536,1.144591147,0.8595022638,0.71302661356
0.3800369893,0.4267521764,0.5505492376,0.517022691,0.4493352314,0.61234690948,0.7957451429,1.0865198435,1.657663115,2.34018449,3.09683859,4.0457969,4.40166067,4.76350736,4.27355871,3.59969806,2.61163814,1.711323603,1.153316578,0.839516795,0.60022942418
0.4267592971,0.2832102352,0.4920715854,0.5398583433,0.4409934074,0.63472427878,0.89827440404,1.2258470104,1.429564312,2.34640368,3.15689233,4.02710717,4.50821356,4.68727,4.36946462,3.61786355,2.65781577,1.863904023,1.1544499172,0.858165836,0.59629187448
0.3085557457,0.2668989306,0.355430951,0.504932278,0.5025614435,0.61647808757,0.89915025794,1.1690852449,1.751907813,2.30696476,3.11731539,4.12169726,4.52974264,4.61040696,4.24900726,3.59049329,2.5936063,1.959221167,1.2737336298,0.9063707538,0.59380692795
0.4748549531,0.4779348086,0.5548207692,0.4774699619,0.4704927278,0.49724706014,0.87173932182,1.0142471296,1.631170185,2.45317984,3.14021756,4.12536102,4.47257261,4.59695735,4.21392713,3.65113244,2.57304412,1.819594653,1.3471470872,0.8119514188,0.62513789121
